Id,Name,Description,Longitude,Latitude,Status
166,MIDAS site at M1/4849B priority 1 on link 116018202; GPS Ref: 429724;412478; Southbound,M1/4849B,-1.55223952,53.60803834,Active
167,MIDAS site at A1M/9411B priority 1 on link 200014152; GPS Ref: 446995;424913; Southbound,A1M/9411B,-1.289354163,53.71853806,Active
168,MIDAS site at M1/5079A priority 1 on link 116023902; GPS Ref: 435349;431323; Northbound,M1/5079A,-1.465087986,53.7770633,Inactive
169,MIDAS site at M61/2347B priority 1 on link 117008102; GPS Ref: 357842;426148; Southbound,M61/2347B,-2.640479923,53.73002891,Active
170,MIDAS site at A2/8369J priority 1 on link 200045742; GPS Ref: 563713;171398; Eastbound,A2/8369J,0.353037509,51.41795937,Active
171,MIDAS site at M62/2179L priority 1 on link 116020601; GPS Ref: 433707;425844; Westbound,M62/2179L,-1.490598536,53.7279286,Active
172,MIDAS site at A1M/9887A priority 1 on link 118013501; GPS Ref: 438698;466904; Northbound,A1M/9887A,-1.409780859,54.0966011,Active
173,MIDAS site at M56/8284B priority 1 on link 110004302; GPS Ref: 366696;384124; Eastbound,M56/8284B,-2.50179582,53.35296013,Active
174,MIDAS site at M27/9148A priority 1 on link 103007402; GPS Ref: 440472;117989; Eastbound,M27/9148A,-1.425100585,50.95990388,Active
175,MIDAS site at M42/6482L priority 1 on link 126109801; GPS Ref: 419326;288851; Southbound,M42/6482L,-1.7167522910000002,52.49724161,Active
176,MIDAS site at M4/3296B priority 1 on link 102005201; GPS Ref: 413386;182402; Eastbound,M4/3296B,-1.808372076,51.54036221,Active
177,MIDAS site at M6/6673A priority 6 on link 123008101; GPS Ref: 377653;358351; Northbound,M6/6673A,-2.335373947,53.12187528,Inactive
178,MIDAS site at M1/3942A priority 1 on link 123013701; GPS Ref: 447146;336274; Northbound,M1/3942A,-1.300208735,52.92183854,Active
179,MIDAS site at M4/3360B priority 1 on link 102004801; GPS Ref: 407388;184287; Eastbound,M4/3360B,-1.894819091,51.55742074,Active
180,MIDAS site at M1/4053B priority 1 on link 107033101; GPS Ref: 451389;345844; Southbound,M1/4053B,-1.235593138,53.00746915,Active
181,MIDAS site at M25/5271A priority 1 on link 199002901; GPS Ref: 516338;202802; Clockwise,M25/5271A,-0.31751869800000004,51.71190225,Active
182,MIDAS site at M42/6626A priority 1 on link 111022201; GPS Ref: 424419;300751; Northbound,M42/6626A,-1.64086145,52.60401745,Active
183,MIDAS site at M1/4166B priority 1 on link 107032001; GPS Ref: 446189;355618; Southbound,M1/4166B,-1.3116847680000001,53.09579547,Inactive
184,MIDAS site at M1/5022B priority 1 on link 116021701; GPS Ref: 432043;427655; Southbound,M1/5022B,-1.515631635,53.74430991,Active
185,MIDAS site at M4/3638B priority 1 on link 123001701; GPS Ref: 381024;179928; Eastbound,M4/3638B,-2.274867571,51.517949,Active
186,MIDAS site at M25/5825A priority 1 on link 199065401; GPS Ref: 557864;182897; Clockwise,M25/5825A,0.27412464000000003,51.52293058,Active
187,MIDAS site at M6/6656B priority 1 on link 110005102; GPS Ref: 377380;356606; Southbound,M6/6656B,-2.339329755,53.10617812,Inactive
188,MIDAS site at M1/5008L priority 1 on link 116022201; GPS Ref: 431751;426305; Westbound,M1/5008L,-1.520196858,53.7321943,Active
189,MIDAS site at A38/4696A priority 1 on link 200124310; GPS Ref: 443770;355310; Northbound,A38/4696A,-1.347848054,53.09323027,Active
190,MIDAS site at M1/4174M priority 1 on link 114007802; GPS Ref: 445564;356076; Southbound,M1/4174M,-1.320952815,53.09996586,Inactive
191,MIDAS site at M42/6416M priority 1 on link 112006601; GPS Ref: 419549;282300; Southbound,M42/6416M,-1.713849593,52.43834041,Active
192,MIDAS site at M1/3135A priority 6 on link 123016901(Non-monitoring MIDAS); GPS Ref: 463910;261514; Northbound,M1/3135A,-1.065290459,52.24811915,Inactive
193,MIDAS site at M25/4387A priority 1 on link 199121802; GPS Ref: 537797;153642; Clockwise,M25/4387A,-0.02627615,51.26528319,Active
194,MIDAS site at M62/1962B priority 1 on link 116033502; GPS Ref: 416951;422669; Westbound,M62/1962B,-1.744729826,53.70020045,Active
195,MIDAS site at M1/4283J priority 1 on link 114007301; GPS Ref: 445260;366694; Northbound,M1/4283J,-1.3239966920000001,53.19542853,Inactive
